lon lat time count friction misfit shape s1a s1p s2a s2p s3a s3p
138.0 37.5 2010.0 600 0.65 35.790825 0.64664924 292.83005 10.42701 24.14978 7.133934 147.9505 77.32065
139.0 37.5 2010.0 1352 0.65 31.450935 0.73944914 296.61572 4.9244614 26.644012 0.32836914 120.44946 85.06453
140.0 37.5 2010.0 1355 0.5 31.36722 0.681759 289.96072 0.70420074 199.93127 2.395584 36.33136 87.50299
141.0 37.5 2010.0 498 0.35 30.64214 0.6523025 274.3188 1.6741333 4.4492493 4.4542923 163.76904 85.240326
142.0 37.5 2010.0 24 0.5 29.023224 0.44491535 258.1291 0.29573822 348.17688 9.184578 166.3006 80.81053
138.0 38.5 2010.0 56 0.8 44.2969 0.90122336 301.9997 11.890327 211.85464 0.68881226 118.5871 78.08916
139.0 38.5 2010.0 275 0.7 32.68666 0.76757705 288.07263 7.518112 18.394806 2.439743 126.25665 82.09157
140.0 38.5 2010.0 2186 0.4 34.87665 0.45255363 101.70697 0.13240051 11.703003 1.7155533 196.11899 88.27933
141.0 38.5 2010.0 2043 0.3 35.27462 0.3892722 101.62305 0.43836212 11.616638 0.8384857 219.2211 89.05373
142.0 38.5 2010.0 96 0.3 43.17484 0.24682255 134.18182 1.2889175 224.30417 5.4211807 30.850555 84.42682
139.0 39.5 2010.0 102 0.8 33.662983 0.7047199 285.15833 3.8214874 194.64565 7.6296005 41.55893 81.45662
140.0 39.5 2010.0 2035 0.35 34.91873 0.40022966 100.13498 0.9533081 10.116455 1.1140518 230.68028 88.533646
141.0 39.5 2010.0 2156 0.35 34.34293 0.3895674 101.57596 0.9442978 11.560944 0.91015625 237.62317 88.68849
142.0 39.5 2010.0 245 0.45 36.05911 0.5133248 115.162384 1.9539032 25.153809 0.2517624 287.81424 88.02988
143.0 39.5 2010.0 25 0.8 52.9915 0.368026 137.80511 1.6046371 47.200317 20.646072 232.05351 69.285934
139.0 40.5 2010.0 65 0.8 42.78264 0.7128887 267.61755 2.8719559 177.50848 2.1725998 50.45105 86.397705
140.0 40.5 2010.0 213 0.45 39.281788 0.35028714 265.77335 0.44151306 355.78122 1.0200195 152.37091 88.88864
141.0 40.5 2010.0 325 0.45 34.30544 0.3721866 98.6297 2.3169785 8.562073 1.6714935 242.78525 87.14253
142.0 40.5 2010.0 190 0.5 34.929337 0.5837071 106.28088 3.5642242 16.118347 2.6075516 250.0025 85.58177
139.0 41.5 2010.0 44 0.6 52.569252 0.933009 91.20245 2.5822983 181.24934 1.038826 293.14597 87.21631
140.0 41.5 2010.0 121 0.55 42.31423 0.31824973 97.141846 0.6543884 7.0811157 5.3025513 194.15672 84.65697
141.0 41.5 2010.0 105 0.5 37.57482 0.234538 38.814697 7.5755234 308.20532 4.572136 187.34949 81.13774
142.0 41.5 2010.0 30 0.8 56.317028 0.8305909 43.80658 7.1553955 308.41418 36.81803 143.14069 52.259644
139.0 42.5 2010.0 34 0.3 54.034824 0.75293154 94.82123 2.367859 3.8547668 22.190834 190.59906 67.66966
140.0 42.5 2010.0 58 0.75 49.420883 0.6588549 284.20593 0.88282776 14.35556 9.619247 189.0121 80.339554
